Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-01-01,1866.1138916015625,1880.1465962460331,1854.4053983278686,1866.4581725045587,1354908
2020-01-02,1857.547607421875,1876.745996512282,1850.2729394763949,1876.745996512282,2380752
2020-01-03,1894.56689453125,1913.808371816653,1863.0145373869714,1863.0145373869714,4655761
2020-01-06,1894.3951416015625,1916.3484135153878,1883.590646132715,1898.3123360778375,3023209
2020-01-07,1899.0438232421875,1906.6196847004483,1880.0606615696283,1894.4378575337112,2429317
2020-01-08,1941.5726318359375,1945.6619656132218,1895.772135567089,1898.3117850341391,5197454
2020-01-09,1906.361572265625,1938.7317543524014,1902.6165190257352,1935.976876542589,3734173
2020-01-10,1905.6729736328125,1923.2785928420933,1900.8948670525256,1918.1131176598853,1915807
2020-01-13,1885.6998291015625,1910.3218011527208,1880.8355472356702,1909.3749234875156,2843893
2020-01-14,1899.9473876953125,1919.662406688526,1889.7026147684453,1889.7026147684453,2948452
2020-01-15,1917.165771484375,1920.6955964567649,1889.0139775712546,1905.1991729981269,2620681
2020-01-16,1927.410888671875,1936.192153869222,1906.9211297555921,1917.2089917823173,3117214
2020-01-17,1910.4508056640625,1940.1091960363165,1905.199155910038,1929.089475194495,3281059
2020-01-20,1868.481201171875,1930.337627352091,1856.299165320408,1889.6164311979296,5817599
2020-01-21,1869.083984375,1882.4281271198668,1857.892122718015,1868.136896622852,1902980
2020-01-22,1899.9473876953125,1902.6163000629904,1871.365139613455,1877.6498418268698,1773686
2020-01-23,1890.4991455078125,1913.6240322182728,1884.2433573289904,1906.7642790371378,2069866
2020-01-24,1883.984619140625,1890.499310219744,1872.4222801084982,1890.499310219744,1319430
2020-01-27,1871.7750244140625,1892.656372435524,1868.1078381267466,1889.4206198290688,1549101
2020-01-28,1884.286376953125,1887.7810314844728,1856.8903414782483,1875.8734211773753,1743024
2020-01-29,1859.134765625,1887.0484083465412,1855.1654900794788,1885.365858522633,2306761
2020-01-30,1844.681396484375,1868.1081651922416,1833.5934646806065,1863.793827628287,2098567
2020-01-31,1793.9447021484375,1850.2899915325381,1787.516381462467,1846.0186289164892,3287223
2020-02-03,1814.178955078125,1893.7352980390033,1806.1542450352317,1856.8908971834128,4728073
2020-02-04,1818.70849609375,1843.6884615345225,1800.4589375198532,1837.044425659397,3509339
2020-02-05,1852.18798828125,1860.9460077896163,1815.731842035042,1824.9644807273298,2439322
2020-02-06,1836.4840087890625,1876.0463547017441,1825.3960778687367,1850.8506674679463,2640065
2020-02-07,1843.5596923828125,1856.0280862554391,1828.416324860658,1845.673675732396,2083442
2020-02-10,1865.476318359375,1869.8338412938533,1828.416201985083,1847.3129156553066,2383032
2020-02-11,1858.0985107421875,1876.563998861233,1853.0940485237627,1866.382121760579,1335820
2020-02-12,1873.0692138671875,1885.365073039182,1855.1647171781426,1856.1139554838753,1620407
2020-02-13,1891.3621826171875,1895.719705182326,1873.2851524582748,1874.9677017803808,1645948
2020-02-14,1884.6746826171875,1908.6624352832282,1873.284876582228,1887.9536204338622,1500115
2020-02-17,1901.11181640625,1912.9762382719418,1889.8513593397222,1895.675711891971,1774724
